iter	Passed	Remaining
360	39945	70706
361	40172	70801
362	40362	70828
363	40559	70867
364	40758	70909
365	40926	70893
366	41102	70893
367	41133	70642
368	41191	70438
369	41214	70175
370	41419	70222
371	41612	70249
372	41828	70311
373	41913	70155
374	42099	70165
375	42284	70174
376	42502	70237
377	42520	69967
378	42543	69707
379	42748	69747
380	42830	69586
381	43113	69749
382	43313	69776
383	43494	69772
384	43709	69822
385	43732	69563
386	43905	69545
387	44069	69512
388	44260	69519
389	44616	69784
390	44668	69573
391	44693	69321
392	44709	69054
393	44867	69009
394	45049	69000
395	45080	68758
396	45270	68761
397	45445	68738
398	45641	68747
399	45813	68720
400	46049	68786
401	46063	68522
402	46082	68266
403	46419	68480
404	46596	68456
405	46797	68467
406	46804	68194
407	46995	68189
408	47180	68175
409	47362	68156
410	47697	68354
411	47910	68376
412	48123	68398
413	48312	68384
414	48330	68128
415	48353	67880
416	48518	67833
417	48724	67841
418	48768	67624
419	48938	67582
420	49138	67580
421	49455	67737
422	49655	67733
423	49839	67706
424	49941	67567
425	50121	67534
426	50221	67392
427	50368	67314
428	50569	67308
429	50612	67090
430	50962	67279
431	51148	67250
432	51331	67217
433	51361	66982
434	51528	66928
435	51692	66868
436	51874	66831
437	52060	66798
438	52120	66604
439	52408	66701
440	52435	66465
441	52746	66588
442	52779	66362
443	52959	66318
444	53174	66319
445	53374	66299
446	53554	66254
447	53737	66212
448	53965	66225
449	54271	66331
450	54453	66285
451	54643	66249
452	54667	66010
453	54862	65980
454	54922	65786
455	55099	65732
456	55317	65726
457	55357	65510
458	55533	65454
459	55713	65403
460	55989	65462
461	56275	65532
462	56336	65340
463	56390	65140
464	56533	65043
465	56706	64981
466	56899	64940
467	56979	64771
468	57150	64705
469	57351	64672
470	57373	64438
471	57483	64303
472	57694	64281
473	57872	64221
474	58051	64162
475	58196	64065
476	58390	64021
477	58483	63867
478	58686	63832
479	58706	63598
480	58740	63380
481	58755	63143
482	58836	62978
483	59042	62946
484	59217	62880
485	59238	62651
486	59415	62587
487	59608	62540
488	59800	62491
489	59985	62433
490	60281	62491
491	60627	62599
492	60788	62514
493	60969	62450
494	61151	62387
495	61194	62181
496	61351	62092
497	61366	61859
498	61376	61622
499	61562	61562
500	61775	61528
501	61792	61299
502	62136	61395
503	62362	61373
504	62561	61322
505	62761	61272
506	62948	61210
507	63147	61158
508	63510	61264
509	63705	61206
510	63881	61131
511	64067	61064
512	64127	60877
513	64290	60788
514	64485	60729
515	64504	60503
516	64711	60455
517	64898	60387
518	64917	60163
519	65098	60091
520	65315	60050
521	65350	59841
522	65678	59901
523	65887	59852
524	66097	59802
525	66306	59751
526	66499	59685
527	66701	59627
528	67059	59707
529	67262	59648
530	67273	59418
531	67438	59325
532	67448	59096
533	67650	59035
534	67830	58955
535	68039	58900
536	68268	58861
537	68439	58771
538	68664	58728
539	68929	58717
540	69141	58661
541	69334	58588
542	69531	58519
543	69737	58456
544	69917	58371
545	70112	58298
546	70304	58222
547	70519	58165
548	70567	57971
549	70922	58027
550	71150	57979
551	71365	57919
552	71562	57845
553	71772	57780
554	71998	57728
555	72155	57620
556	72357	57548
557	72372	57327
558	72396	57114
559	72602	57045
560	72985	57113
561	73034	56919
562	73208	56824
563	73250	56626
564	73472	56567
565	73647	56471
566	73830	56381
567	74034	56308
568	74226	56224
569	74474	56182
570	74817	56211
571	74973	56099
572	75190	56031
573	75404	55962
574	75620	55893
575	75792	55791
576	75979	55701
577	76203	55636
578	76554	55663
579	76773	55594
580	76993	55525
581	77195	55442
582	77535	55458
583	77729	55368
584	77925	55280
585	78114	55186
586	78269	55068
587	78499	55002
588	78838	55012
589	79031	54920
590	79239	54837
591	79270	54632
592	79359	54467
593	79543	54368
594	79758	54289
595	79974	54210
596	80172	54119
597	80387	54039
598	80650	53991
599	81038	54025
600	81323	53990
601	81649	53981
602	81926	53938
603	82225	53909
604	82508	53868
605	82816	53844
606	83197	53865
607	83378	53757
608	83584	53664
609	83821	53590
610	84038	53504
611	84261	53420
612	84451	53316
613	84718	53259
614	85016	53221
615	85354	53208
616	85848	53289
617	86100	53220
618	86295	53115
619	86646	53105
620	86976	53082
621	87249	53022
622	87452	52920
623	87771	52887
624	88086	52851
625	88386	52805
626	88739	52790
627	89043	52745
628	89248	52640
629	89456	52537
630	89714	52463
631	89986	52396
632	90248	52324
633	90453	52217
634	90654	52108
635	90872	52008
636	91211	51977
637	91573	51958
638	91776	51848
639	92002	51751
640	92236	51658
641	92487	51574
642	92733	51486
643	93006	51413
644	93230	51312
645	93451	51210
646	93797	51175
647	94181	51160
648	94433	51072
649	94720	51003
650	94932	50893
651	95168	50795
652	95441	50717
653	95662	50610
654	95937	50531
655	96185	50438
656	96447	50352
657	96819	50322
658	97047	50217
659	97299	50124
660	97559	50034
661	97790	49929
662	98132	49880
663	98448	49817
664	98801	49772
665	99368	49833
666	99633	49742
667	99880	49641
668	100205	49578
669	100600	49549
670	100844	49445
671	101167	49379
672	101550	49341
673	101830	49253
674	102076	49147
675	102562	49157
676	102795	49044
677	103038	48935
678	103230	48802
679	103475	48694
680	103682	48568
681	103886	48439
682	104114	48322
683	104320	48194
684	104550	48077
685	104763	47953
686	104950	47815
687	105160	47688
688	105497	47619
689	105678	47478
690	105911	47361
691	106120	47232
692	106336	47107
693	106539	46975
694	106730	46838
695	106905	46694
696	107121	46567
697	107371	46455
698	107732	46391
699	107946	46262
700	108127	46119
701	108342	45991
702	108548	45859
703	108742	45721
704	108952	45590
705	109162	45458
706	109357	45320
707	109591	45198
708	109952	45128
709	110154	44992
710	110215	44799
711	110419	44664
712	110616	44525
713	110842	44399
714	111032	44257
715	111228	44118
716	111452	43990
717	111742	43887
718	112113	43816
719	112318	43679
720	112547	43551
721	112758	43416
722	113006	43295
723	113251	43173
724	113450	43032
725	113660	42896
726	113871	42760
727	114241	42683
728	114454	42547
729	114687	42418
730	114924	42291
731	115127	42150
732	115320	42006
733	115522	41864
734	115730	41725
735	115945	41589
736	116177	41458
737	116428	41333
738	116772	41241
739	116980	41101
740	117209	40967
741	117422	40828
742	117627	40686
743	117801	40533
744	118011	40393
745	118228	40254
746	118447	40116
747	118708	39992
748	119052	39895
749	119231	39743
750	119459	39607
751	119660	39462
752	119850	39313
753	120061	39171
754	120260	39024
755	120429	38868
756	120631	38723
757	120922	38605
758	121278	38508
759	121578	38393
760	121840	38265
761	122086	38131
762	122269	37978
763	122496	37839
764	122835	37733
765	123009	37577
766	123242	37438
767	123582	37332
768	123823	37195
769	124004	37040
770	124220	36895
771	124396	36738
772	124616	36595
773	124856	36456
774	125047	36304
775	125265	36159
776	125496	36017
777	125812	35900
778	126147	35787
779	126362	35640
780	126559	35488
781	126765	35338
782	126976	35190
783	127167	35035
784	127385	34889
785	127584	34736
786	127831	34597
787	128079	34457
788	128433	34346
789	128634	34193
790	128823	34038
791	129033	33887
792	129213	33729
793	129428	33579
794	129619	33423
795	129793	33263
796	130023	33117
797	130269	32975
798	130616	32858
799	130813	32703
800	130999	32545
801	131196	32390
802	131413	32239
803	131574	32075
804	131775	31920
805	132010	31774
806	132228	31623
807	132468	31477
808	133050	31412
809	133268	31260
810	133512	31114
811	133765	30970
812	133979	30817
813	134174	30658
814	134385	30504
815	134580	30346
816	134828	30200
817	135166	30073
818	135373	29917
819	135599	29765
820	135840	29616
821	136059	29462
822	136278	29308
823	136514	29158
824	136718	29000
825	136932	28845
826	137149	28690
827	137391	28540
828	137730	28410
829	137931	28251
830	138150	28095
831	138390	27944
832	138621	27790
833	138858	27638
834	139063	27479
835	139274	27321
836	139516	27169
837	139896	27044
838	140104	26885
839	140313	26726
840	140529	26568
841	140769	26415
842	140951	26250
843	141168	26092
844	141358	25929
845	141558	25768
846	141782	25611
847	141993	25451
848	142332	25314
849	142560	25157
850	142767	24996
851	143006	24841
852	143236	24684
853	143428	24520
854	143651	24361
855	143876	24203
856	144147	24052
857	144610	23933
858	144838	23774
859	145061	23614
860	145290	23455
861	145489	23291
862	145703	23130
863	145921	22969
864	146132	22806
865	146336	22643
866	146564	22483
867	146825	22328
868	147191	22188
869	147439	22031
870	147664	21869
871	147942	21716
872	148179	21556
873	148428	21398
874	148684	21240
875	148962	21086
876	149384	20951
877	149619	20789
878	149859	20629
879	150161	20476
880	150373	20311
881	150606	20149
882	150816	19983
883	151003	19814
884	151231	19651
885	151420	19482
886	151603	19313
887	151822	19148
888	152180	19001
889	152541	18853
890	152852	18699
891	153162	18544
892	153557	18399
893	153855	18242
894	154148	18084
895	154418	17923
896	154942	17791
897	155216	17630
898	155648	17486
899	156026	17336
900	156314	17175
901	156633	17017
902	156894	16853
903	157149	16688
904	157488	16531
905	157831	16375
906	158465	16248
907	158679	16077
908	158911	15908
909	159129	15738
910	159345	15567
911	159545	15394
912	159753	15222
913	159989	15053
914	160181	14880
915	160405	14709
916	160630	14539
917	160867	14369
918	161238	14211
919	161458	14039
920	161676	13868
921	161902	13696
922	162125	13525
923	162335	13352
924	162534	13178
925	162624	12995
926	162856	12824
927	163093	12653
928	163481	12494
929	163707	12322
930	163873	12145
931	164065	11970
932	164229	11793
933	164420	11618
934	164616	11443
935	164806	11268
936	165011	11094
937	165239	10922
938	165544	10754
939	165766	10580
940	165982	10406
941	166250	10236
942	166457	10061
943	166643	9885
944	166840	9710
945	167053	9535
946	167264	9361
947	167527	9189
948	167934	9024
949	168100	8847
950	168336	8673
951	168798	8510
952	169128	8341
953	169372	8166
954	169632	7993
955	169894	7819
956	170282	7651
957	170504	7475
958	170693	7297
959	170897	7120
960	171115	6944
961	171315	6767
962	171570	6592
963	171770	6414
964	171992	6238
965	172207	6061
966	172443	5884
967	172792	5712
968	173007	5534
969	173180	5356
970	173384	5178
971	173628	5001
972	173840	4823
973	174035	4645
974	174223	4467
975	174439	4289
976	174675	4112
977	174934	3935
978	175320	3760
979	175549	3582
980	175789	3404
981	176025	3226
982	176205	3047
983	176411	2868
984	176614	2689
985	176807	2510
986	176988	2331
987	177325	2153
988	177683	1976
989	177935	1797
990	178176	1618
991	178503	1439
992	178840	1260
993	179066	1080
994	179325	901
995	179580	721
996	179810	541
997	180112	360
998	180331	180
999	180551	0
